Ville,Nombre d'habitants,Type d'agglomeration
Bourg-en-Bresse,41681,Ville Moyenne
Melun,41609,Ville Moyenne
Angoulême,41407,Ville Moyenne
Thionville,41383,Ville Moyenne
Wattrelos,41015,Ville Moyenne
Boulogne-sur-Mer,40588,Ville Moyenne
Compiègne,40453,Ville Moyenne
Anglet,40310,Ville Moyenne
Gap,40111,Ville Moyenne
Colomiers,39866,Ville Moyenne
Douai,39842,Ville Moyenne
Montélimar,39790,Ville Moyenne
Poissy,39731,Ville Moyenne
Le Lamentin,39628,Ville Moyenne
Gagny,39588,Ville Moyenne
Draguignan,39434,Ville Moyenne
Stains,39193,Ville Moyenne
Joué-lès-Tours,38750,Ville Moyenne
Marcq-en-Barœul,38604,Ville Moyenne
Bagnolet,38470,Ville Moyenne
Saint-Joseph,38465,Ville Moyenne
Villenave-d'Ornon,38444,Ville Moyenne
Chartres,38443,Ville Moyenne
Villepinte,38204,Ville Moyenne
Saint-Martin-d'Hères,38188,Ville Moyenne
Pontault-Combault,37579,Ville Moyenne
Annemasse,37485,Ville Moyenne
Franconville,37347,Ville Moyenne
Savigny-sur-Orge,37190,Ville Moyenne
Saint-Benoît,36994,Ville Moyenne
Échirolles,36970,Ville Moyenne
Thonon-les-Bains,36626,Ville Moyenne
Neuilly-sur-Marne,36535,Ville Moyenne
Tremblay-en-France,36477,Ville Moyenne
La Ciotat,36441,Ville Moyenne
Châtillon,36392,Ville Moyenne
Villefranche-sur-Saône,36009,Ville Moyenne
Creil,35970,Ville Moyenne
Conflans-Sainte-Honorine,35957,Ville Moyenne
Saint-Raphaël,35881,Ville Moyenne
Sainte-Geneviève-des-Bois,35879,Ville Moyenne
Athis-Mons,35641,Ville Moyenne
Haguenau,35448,Ville Moyenne
Six-Fours-les-Plages,35339,Ville Moyenne
Saint-Chamond,35309,Ville Moyenne
Meyzieu,35134,Ville Moyenne
Villeneuve-Saint-Georges,34845,Ville Moyenne
Palaiseau,34750,Ville Moyenne
Saint-Leu,34740,Ville Moyenne
Matoury,34474,Ville Moyenne
Vitrolles,34418,Ville Moyenne
Roanne,34415,Ville Moyenne
Mâcon,34414,Ville Moyenne
Châtenay-Malabry,34383,Ville Moyenne
Sainte-Marie,34350,Ville Moyenne
Auxerre,34151,Ville Moyenne
Schiltigheim,33993,Ville Moyenne
Montluçon,33822,Ville Moyenne
Le Perreux-sur-Marne,33697,Ville Moyenne
Nogent-sur-Marne,33578,Ville Moyenne
Les Mureaux,33543,Ville Moyenne
Trappes,33419,Ville Moyenne
La Possession,33370,Ville Moyenne
Houilles,33250,Ville Moyenne
Romans-sur-Isère,32818,Ville Moyenne
Le Port,32619,Ville Moyenne
Marignane,32515,Ville Moyenne
Lens,32458,Ville Moyenne
Saint-Médard-en-Jalles,32357,Ville Moyenne
Nevers,32284,Ville Moyenne
Agen,32214,Ville Moyenne
Koungou,32156,Ville Moyenne
Pontoise,31973,Ville Moyenne
Bezons,31866,Ville Moyenne
Montigny-le-Bretonneux,31854,Ville Moyenne
Épinal,31832,Ville Moyenne
Herblay-sur-Seine,31747,Ville Moyenne
L'Haÿ-les-Roses,31647,Ville Moyenne
Châtellerault,31573,Ville Moyenne
Cambrai,31559,Ville Moyenne
Vigneux-sur-Seine,31495,Ville Moyenne
Romainville,31469,Ville Moyenne
Pierrefitte-sur-Seine,31344,Ville Moyenne
Malakoff,31230,Ville Moyenne
Aix-les-Bains,31100,Ville Moyenne
Viry-Châtillon,31098,Ville Moyenne
Le Chesnay-Rocquencourt,31057,Ville Moyenne
Goussainville,30910,Ville Moyenne
Plaisir,30897,Ville Moyenne
Rillieux-la-Pape,30887,Ville Moyenne
Thiais,30788,Ville Moyenne
Dreux,30744,Ville Moyenne
Menton,30679,Ville Moyenne
Villemomble,30583,Ville Moyenne
Bègles,30543,Ville Moyenne
Baie-Mahault,30316,Ville Moyenne
Cachan,30214,Ville Moyenne
Savigny-le-Temple,30169,Ville Moyenne
Saint-Laurent-du-Var,30141,Ville Moyenne
Liévin,30102,Ville Moyenne
Vienne,30059,Ville Moyenne
Mont-de-Marsan,29953,Ville Moyenne
Carpentras,29865,Ville Moyenne
Vandœuvre-lès-Nancy,29723,Ville Moyenne
Chatou,29709,Ville Moyenne
Villiers-sur-Marne,29672,Ville Moyenne
Ris-Orangis,29643,Ville Moyenne
Charenton-le-Pont,29632,Ville Moyenne
Maubeuge,29625,Ville Moyenne
La Garenne-Colombes,29624,Ville Moyenne
Clichy-sous-Bois,29568,Ville Moyenne
Le Plessis-Robinson,29562,Ville Moyenne
Saint-Cloud,29560,Ville Moyenne
Bois-Colombes,29555,Ville Moyenne
Bourgoin-Jallieu,29389,Ville Moyenne
Guyancourt,29269,Ville Moyenne
Périgueux,29255,Ville Moyenne
Ermont,29230,Ville Moyenne
Agde,29201,Ville Moyenne
Yerres,29097,Ville Moyenne
Sotteville-lès-Rouen,29071,Ville Moyenne
Décines-Charpieu,28913,Ville Moyenne
Soissons,28888,Ville Moyenne
Tournefeuille,28763,Ville Moyenne
Villiers-le-Bel,28636,Ville Moyenne
Draveil,28595,Ville Moyenne
Fresnes,28556,Ville Moyenne
Orange,28454,Ville Moyenne
Saint-Étienne-du-Rouvray,28331,Ville Moyenne
Limeil-Brévannes,28290,Ville Moyenne
Dieppe,28091,Ville Moyenne
