Ville,Nombre d'habitants,Type d'agglomeration
Hirsingue,2120,Bourg
Logonna-Daoulas,2120,Bourg
Loir en Vallée,2120,Bourg
Poisat,2120,Bourg
Pussay,2120,Bourg
Cénac,2118,Bourg
Javené,2116,Bourg
Naucelles,2116,Bourg
Serpaize,2116,Bourg
Ligueil,2115,Bourg
Peschadoires,2115,Bourg
Vignoc,2115,Bourg
Châtillon,2114,Bourg
Larra,2114,Bourg
Boisseron,2113,Bourg
Clohars-Fouesnant,2113,Bourg
Saze,2112,Bourg
Labaroche,2111,Bourg
Saint-Sauveur,2111,Bourg
Bouloire,2109,Bourg
Combloux,2109,Bourg
Formerie,2109,Bourg
Aubigné-Racan,2108,Bourg
Maurs,2107,Bourg
Mittelhausbergen,2107,Bourg
Château-Renard,2106,Bourg
Méry,2106,Bourg
Perreux,2106,Bourg
Boigny-sur-Bionne,2105,Bourg
Champigny,2105,Bourg
Cotignac,2105,Bourg
Mons-en-Pévèle,2105,Bourg
Muizon,2105,Bourg
Bois-de-Céné,2103,Bourg
Le Gua,2103,Bourg
Saint-Paterne - Le Chevain,2103,Bourg
Sainte-Anastasie-sur-Issole,2102,Bourg
Telgruc-sur-Mer,2102,Bourg
Sainte-Foy-de-Peyrolières,2101,Bourg
Brax,2100,Bourg
La Canourgue,2099,Bourg
Ittenheim,2098,Bourg
Grignon,2097,Bourg
Nogaro,2097,Bourg
Saint-Victor,2097,Bourg
Chilleurs-aux-Bois,2096,Bourg
Couilly-Pont-aux-Dames,2096,Bourg
Le Pouget,2096,Bourg
Linars,2096,Bourg
Berric,2095,Bourg
Bonnelles,2095,Bourg
Bouray-sur-Juine,2095,Bourg
Nogent-l'Artaud,2095,Bourg
Saint-Clément-de-la-Place,2094,Bourg
Chaptelat,2093,Bourg
Fains-Véel,2093,Bourg
Saint-Prest,2093,Bourg
Prémesques,2092,Bourg
Bonneuil-Matours,2091,Bourg
Bourgs sur Colagne,2091,Bourg
Houdemont,2091,Bourg
La Frénaye,2091,Bourg
Plaimpied-Givaudins,2091,Bourg
Richemont,2090,Bourg
Lacroix-Falgarde,2089,Bourg
Pencran,2089,Bourg
Mesquer,2088,Bourg
Septème,2088,Bourg
Amanvillers,2087,Bourg
Eymoutiers,2087,Bourg
Kerlouan,2087,Bourg
Rety,2087,Bourg
Foëcy,2086,Bourg
Morancé,2086,Bourg
Parcé-sur-Sarthe,2086,Bourg
Chouzé-sur-Loire,2085,Bourg
Chailly-en-Bière,2083,Bourg
Saint-Uze,2083,Bourg
Sourcieux-les-Mines,2083,Bourg
Carspach,2082,Bourg
Florac Trois Rivières,2082,Bourg
Le Grand-Bornand,2082,Bourg
Rives-d'Autise,2082,Bourg
Guiscriff,2081,Bourg
Chessy,2080,Bourg
Esnandes,2079,Bourg
Soliers,2079,Bourg
Créances,2078,Bourg
Fontenay-en-Parisis,2078,Bourg
Saint-Bonnet-en-Champsaur,2078,Bourg
Sainte-Gemme-la-Plaine,2077,Bourg
Varreddes,2077,Bourg
Wisches,2077,Bourg
Saint-Nazaire-d'Aude,2076,Bourg
Saint-Sauveur-le-Vicomte,2076,Bourg
Segonzac,2076,Bourg
Bergheim,2072,Bourg
Potigny,2072,Bourg
Saint-Didier-de-Formans,2072,Bourg
Sonnaz,2072,Bourg
Beaurainville,2071,Bourg
Roches-Prémarie-Andillé,2071,Bourg
Saint-Germain-en-Coglès,2071,Bourg
Argent-sur-Sauldre,2070,Bourg
Godewaersvelde,2070,Bourg
La Longueville,2070,Bourg
Barsac,2069,Bourg
Bessé-sur-Braye,2069,Bourg
Le Pont-de-Beauvoisin,2069,Bourg
Le Perrier,2068,Bourg
Sennecey-lès-Dijon,2068,Bourg
Val-Cenis,2068,Bourg
Chemaudin et Vaux,2067,Bourg
L'Aiguillon-sur-Vie,2067,Bourg
Saint-Pabu,2067,Bourg
Wittisheim,2067,Bourg
Ribaute-les-Tavernes,2066,Bourg
Durtol,2065,Bourg
Sainte-Consorce,2065,Bourg
Seyssuel,2063,Bourg
Loué,2062,Bourg
Sissonne,2062,Bourg
Vernègues,2062,Bourg
Châteauneuf-du-Pape,2061,Bourg
Les Mages,2061,Bourg
Marolles-les-Braults,2061,Bourg
Saint-Didier,2060,Bourg
Saint-Benoît-de-Carmaux,2058,Bourg
Mettray,2057,Bourg
Abbaretz,2056,Bourg
Neuville-sur-Oise,2056,Bourg
Ucel,2056,Bourg
Blaringhem,2055,Bourg
La Ferté-Milon,2055,Bourg
Lagny-le-Sec,2055,Bourg
Neuilly-Saint-Front,2055,Bourg
Monsempron-Libos,2054,Bourg
Vauhallan,2054,Bourg
Étel,2053,Bourg
Falicon,2053,Bourg
Montebourg,2051,Bourg
Vay,2051,Bourg
Trosly-Breuil,2050,Bourg
Clérieux,2049,Bourg
La Chapelle-Saint-Laurent,2049,Bourg
Valergues,2049,Bourg
Flourens,2048,Bourg
Préseau,2048,Bourg
Volstroff,2048,Bourg
Frangy,2047,Bourg
La Bonneville-sur-Iton,2047,Bourg
Brain-sur-Allonnes,2046,Bourg
Estagel,2046,Bourg
Porte-des-Bonnevaux,2046,Bourg
Saint-Julien,2046,Bourg
Saint-Just-Luzac,2046,Bourg
Baule,2045,Bourg
Sauveterre,2045,Bourg
Lamanon,2044,Bourg
Gidy,2043,Bourg
La Ménitré,2043,Bourg
Targon,2043,Bourg
Ambon,2042,Bourg
Chars,2042,Bourg
Pouilley-les-Vignes,2042,Bourg
Moussan,2041,Bourg
Saint-Geniès-des-Mourgues,2041,Bourg
Brécé,2040,Bourg
Les Attaques,2040,Bourg
Montmédy,2040,Bourg
Plourhan,2040,Bourg
Bénouville,2039,Bourg
Mailly-le-Camp,2038,Bourg
Peri,2038,Bourg
Soignolles-en-Brie,2038,Bourg
Ramatuelle,2037,Bourg
San-Nicolao,2037,Bourg
Astaffort,2036,Bourg
Châteauponsac,2036,Bourg
Espelette,2036,Bourg
Hanvec,2036,Bourg
Saint-Macaire,2035,Bourg
Val en Vignes,2035,Bourg
Caëstre,2034,Bourg
Saint-Bonnet-près-Riom,2033,Bourg
Cuttoli-Corticchiato,2032,Bourg
Etaux,2032,Bourg
Le Temple-de-Bretagne,2032,Bourg
Plappeville,2032,Bourg
Cosne-d'Allier,2031,Bourg
Estevelles,2031,Bourg
Saint-Magne-de-Castillon,2030,Bourg
Cairon,2029,Bourg
Eurville-Bienville,2029,Bourg
Saint-Léon-sur-l'Isle,2029,Bourg
Tavel,2029,Bourg
Mozé-sur-Louet,2028,Bourg
Saint-Marcel-sur-Aude,2028,Bourg
Ahetze,2027,Bourg
Jussac,2027,Bourg
Sainte-Marguerite-sur-Duclair,2027,Bourg
Bû,2026,Bourg
Les Matelles,2026,Bourg
Assat,2025,Bourg
Gosné,2025,Bourg
Saint-Didier,2025,Bourg
Beaufort,2024,Bourg
Samois-sur-Seine,2024,Bourg
Lampaul-Guimiliau,2023,Bourg
Les Côtes-d'Arey,2023,Bourg
Naucelle,2023,Bourg
Pénestin,2023,Bourg
Sarry,2023,Bourg
Évette-Salbert,2021,Bourg
Nages-et-Solorgues,2021,Bourg
Verquigneul,2021,Bourg
Domalain,2020,Bourg
Évrecy,2020,Bourg
Le Thou,2020,Bourg
Vesseaux,2020,Bourg
Sainte-Féréole,2019,Bourg
Chevrières,2018,Bourg
Juilly,2018,Bourg
Montredon-Labessonnié,2018,Bourg
Éclaron-Braucourt-Sainte-Livière,2017,Bourg
Romanèche-Thorins,2017,Bourg
Vailly-sur-Aisne,2017,Bourg
Foissiat,2016,Bourg
May-sur-Orne,2016,Bourg
Saint-Manvieu-Norrey,2016,Bourg
Tignes,2016,Bourg
Val-d'Arc,2015,Bourg
Burlats,2014,Bourg
Monclar-de-Quercy,2014,Bourg
Saint-Bauzille-de-Putois,2014,Bourg
Saint-Maixant,2014,Bourg
Léry,2013,Bourg
Monswiller,2013,Bourg
Pompaire,2013,Bourg
Sinceny,2013,Bourg
Corneilla-la-Rivière,2012,Bourg
Lux,2012,Bourg
Saint-Germain-Lembron,2012,Bourg
Briatexte,2011,Bourg
Theys,2011,Bourg
Perche en Nocé,2010,Bourg
Saint-Julien-Chapteuil,2010,Bourg
Sainte-Jamme-sur-Sarthe,2010,Bourg
Séreilhac,2010,Bourg
Croissy-Beaubourg,2009,Bourg
Rémilly,2009,Bourg
Warhem,2009,Bourg
Brenouille,2008,Bourg
Donchery,2008,Bourg
Beauval,2007,Bourg
Charron,2007,Bourg
Châtillon-le-Duc,2007,Bourg
Grane,2007,Bourg
Perthes,2007,Bourg
Rivières,2007,Bourg
Bart,2006,Bourg
Beaune-la-Rolande,2006,Bourg
Châtonnay,2006,Bourg
Mametz,2006,Bourg
Réguisheim,2006,Bourg
Reventin-Vaugris,2006,Bourg
Rignac,2006,Bourg
Sémalens,2006,Bourg
Bully,2005,Bourg
Meyenheim,2005,Bourg
Sablons sur Huisne,2005,Bourg
Ger,2004,Bourg
Paulx,2004,Bourg
Saint-Benoît-sur-Loire,2004,Bourg
Saint-Gervais-en-Belin,2004,Bourg
Tulette,2004,Bourg
Cagny,2003,Bourg
Candillargues,2003,Bourg
Givenchy-en-Gohelle,2003,Bourg
Reuilly,2003,Bourg
Bitschwiller-lès-Thann,2002,Bourg
Plouisy,2002,Bourg
Montbron,2001,Bourg
Arveyres,2000,Bourg
Longueil-Sainte-Marie,2000,Bourg
Monticello,2000,Bourg
Rexpoëde,2000,Bourg
Saint-Geniès-de-Comolas,1999,Village
Saint-Léger-les-Vignes,1999,Village
Abzac,1998,Village
Ambleteuse,1998,Village
Asson,1998,Village
Biars-sur-Cère,1998,Village
Chaulnes,1997,Village
Creney-près-Troyes,1997,Village
Saint-Gervasy,1997,Village
Soudan,1996,Village
Azay-le-Brûlé,1995,Village
Rouhling,1995,Village
Luzy,1994,Village
Envermeu,1993,Village
Flesselles,1993,Village
Vernantes,1993,Village
Beautheil-Saints,1992,Village
Génissac,1992,Village
Charantonnay,1990,Village
Sornay,1990,Village
Varois-et-Chaignot,1990,Village
Le Tallud,1989,Village
Plogastel-Saint-Germain,1989,Village
Rouffiac-Tolosan,1989,Village
Sebourg,1989,Village
Savigny,1988,Village
Bellegarde-en-Forez,1987,Village
Froideconche,1987,Village
Marquillies,1987,Village
Pinet,1987,Village
Blodelsheim,1986,Village
Reiningue,1986,Village
Sainte-Colombe,1986,Village
Auzat-la-Combelle,1985,Village
Ottmarsheim,1985,Village
Malijai,1984,Village
Barraux,1983,Village
Guissény,1983,Village
Montreuil-le-Gast,1983,Village
Saint-Ouen-d'Aunis,1983,Village
Artiguelouve,1982,Village
Messein,1982,Village
Frénouville,1981,Village
Verny,1981,Village
Gavray-sur-Sienne,1980,Village
Montréal,1980,Village
Beaumont-sur-Sarthe,1979,Village
Le Crotoy,1979,Village
Misérieux,1979,Village
Saint-Chaptes,1979,Village
Champdieu,1978,Village
Réquista,1978,Village
La Genétouze,1977,Village
Lezay,1977,Village
Marcellaz-Albanais,1977,Village
Villeneuve,1976,Village
Viviers-lès-Montagnes,1976,Village
Bazouges Cré sur Loir,1975,Village
Saint-Symphorien,1975,Village
Vennecy,1974,Village
Noidans-lès-Vesoul,1973,Village
Sours,1973,Village
Limetz-Villez,1972,Village
Mirebeau-sur-Bèze,1972,Village
Pleugueneuc,1972,Village
Saint-Romain-en-Gal,1972,Village
Bourbonne-les-Bains,1971,Village
Pleine-Fougères,1971,Village
Santa-Maria-di-Lota,1971,Village
Auffargis,1970,Village
Beauvois-en-Cambrésis,1970,Village
Jouy,1970,Village
Les Roches-de-Condrieu,1970,Village
Vernoux-en-Vivarais,1970,Village
Artenay,1969,Village
Froidfond,1969,Village
La Bâtie-Montgascon,1969,Village
Lucenay,1969,Village
Craponne-sur-Arzon,1968,Village
La Gouesnière,1968,Village
Moidieu-Détourbe,1968,Village
Pouxeux,1968,Village
Savigny-sur-Braye,1968,Village
Thil,1968,Village
Albon,1967,Village
Garennes-sur-Eure,1967,Village
Moisdon-la-Rivière,1967,Village
Lanvéoc,1966,Village
Ercé-près-Liffré,1965,Village
Janville-sur-Juine,1964,Village
Aumale,1963,Village
Réguiny,1963,Village
La Forest-Landerneau,1962,Village
Ranville,1962,Village
Callas,1961,Village
Croisilles,1961,Village
La Romagne,1961,Village
Remy,1960,Village
Plaudren,1957,Village
Beignon,1955,Village
Neuf-Brisach,1955,Village
Nomexy,1955,Village
Saint-Cyr-sur-Morin,1955,Village
Sundhoffen,1955,Village
Labastide-Saint-Sernin,1954,Village
Réau,1954,Village
Orleix,1953,Village
Rountzenheim-Auenheim,1953,Village
Fussy,1952,Village
Bénéjacq,1951,Village
Le Sequestre,1951,Village
Ozouer-le-Voulgis,1951,Village
Charavines,1950,Village
Remouillé,1949,Village
Saint-Joseph,1949,Village
Langrune-sur-Mer,1948,Village
Manziat,1948,Village
Rosult,1948,Village
Saint-Palais,1948,Village
Marennes,1947,Village
Roquetoire,1947,Village
Fontenay-le-Marmion,1946,Village
Campagne-lès-Hesdin,1945,Village
Mothern,1945,Village
Pietrosella,1945,Village
Labastide-Saint-Georges,1944,Village
Dommartin-lès-Toul,1943,Village
Frontenex,1943,Village
Montcourt-Fromonville,1943,Village
Orbec,1943,Village
Sailly-lez-Lannoy,1943,Village
Les Deux Alpes,1942,Village
Montoison,1942,Village
Mouzeil,1942,Village
Pierre-de-Bresse,1942,Village
La Baconnière,1941,Village
Voglans,1941,Village
Buros,1940,Village
Rieupeyroux,1940,Village
Saint-Sauveur,1940,Village
Vireux-Wallerand,1940,Village
Champigny en Rochereau,1938,Village
Cravanche,1938,Village
Vienne-en-Val,1938,Village
Hélesmes,1937,Village
Rieux-Minervois,1937,Village
Écaillon,1936,Village
Le Buisson-de-Cadouin,1936,Village
Meillac,1936,Village
Saint-Sauveur,1936,Village
Hurigny,1935,Village
Le Val-Saint-Père,1935,Village
Saint-Aubin-Routot,1935,Village
Vatan,1935,Village
Boissy-l'Aillerie,1934,Village
Cabasse,1934,Village
Château-Chinon (Ville),1934,Village
Saint-Jean-de-Gonville,1934,Village
Sillans,1934,Village
Steinbourg,1934,Village
Avoine,1933,Village
Frasne,1933,Village
Bavent,1932,Village
Léon,1932,Village
Ginasservis,1930,Village
Ablain-Saint-Nazaire,1929,Village
Cherveux,1929,Village
Domessin,1929,Village
Lantriac,1929,Village
Puy-l'Évêque,1929,Village
Vaucouleurs,1929,Village
Visan,1929,Village
Burnhaupt-le-Bas,1928,Village
Ligny-en-Cambrésis,1928,Village
Sault-lès-Rethel,1928,Village
Villiers-sur-Morin,1928,Village
Le Grand-Lucé,1927,Village
Roquefort,1927,Village
Plounéour-Brignogan-plages,1926,Village
Saint-Julien-des-Landes,1926,Village
Saint-Montan,1926,Village
Saint-Sulpice-le-Guérétois,1926,Village
Villette-de-Vienne,1926,Village
Beinheim,1924,Village
Talloires-Montmin,1924,Village
Saint-Symphorien-de-Lay,1923,Village
Étival-lès-le-Mans,1921,Village
Port-en-Bessin-Huppain,1921,Village
Cambronne-lès-Ribécourt,1920,Village
Couternon,1920,Village
Saint-André-d'Apchon,1920,Village
Saint-Porchaire,1920,Village
Locqueltas,1919,Village
Malemort-du-Comtat,1919,Village
Marquette-en-Ostrevant,1919,Village
Saint-Gervais,1919,Village
Garidech,1918,Village
Belcodène,1917,Village
Plélan-le-Petit,1917,Village
Taillades,1917,Village
Marmagne,1916,Village
Saint-André-Goule-d'Oie,1916,Village
Saint-Thonan,1916,Village
Saint-Urbain,1916,Village
Bullion,1915,Village
Pont-Hébert,1915,Village
Deux-Grosnes,1914,Village
Échalas,1914,Village
Les Montils,1914,Village
Maubec,1914,Village
Ribemont,1914,Village
Saint-Georges-de-Mons,1914,Village
Trie-Château,1914,Village
Châtel-Saint-Germain,1913,Village
Montreuil,1913,Village
Bretteville-sur-Laize,1912,Village
Lombron,1912,Village
Saint-Martin-en-Bresse,1912,Village
Saint-Hilaire-des-Loges,1911,Village
Saint-Christo-en-Jarez,1909,Village
Saint-Pavace,1909,Village
Corme-Royal,1908,Village
Damgan,1908,Village
Morancez,1908,Village
Corzé,1907,Village
Saint-Nauphary,1907,Village
Le Vernet,1906,Village
La Chapelle-de-la-Tour,1905,Village
Montcenis,1905,Village
Bacqueville-en-Caux,1904,Village
Le Drennec,1904,Village
Sainte-Terre,1904,Village
Martigné-sur-Mayenne,1902,Village
Saint-Cosme-en-Vairais,1902,Village
Bréval,1901,Village
Hatten,1901,Village
Louvigné-de-Bais,1900,Village
Prissé,1900,Village
Aurseulles,1899,Village
Ambierle,1898,Village
Campénéac,1898,Village
Rémalard en Perche,1898,Village
Saint-Jeoire-Prieuré,1898,Village
Marcoing,1897,Village
Montaigut-sur-Save,1897,Village
Saint-Privat-la-Montagne,1897,Village
Hautot-sur-Mer,1896,Village
Le Fousseret,1895,Village
Les Bordes,1895,Village
Ully-Saint-Georges,1895,Village
Camopi,1894,Village
Baillet-en-France,1893,Village
Camps-la-Source,1893,Village
Lutzelhouse,1893,Village
Moulis-en-Médoc,1893,Village
Sauve,1893,Village
Dortan,1892,Village
Sannerville,1892,Village
Agny,1891,Village
Hesdin-l'Abbé,1891,Village
Saint-Germain-des-Prés,1891,Village
Saint-André-de-Seignanx,1890,Village
Saint-Germain-du-Bois,1890,Village
Touvois,1890,Village
Buchères,1889,Village
La Saussaye,1889,Village
Lecci,1889,Village
Pont-Salomon,1889,Village
Arenthon,1888,Village
Coray,1887,Village
Coteaux-sur-Loire,1887,Village
Ernolsheim-Bruche,1887,Village
Le Syndicat,1887,Village
Saint-Aigulin,1887,Village
Coubert,1885,Village
Marin,1885,Village
Chaillé-les-Marais,1884,Village
Grièges,1884,Village
Menthon-Saint-Bernard,1884,Village
Saint-Antonin-Noble-Val,1884,Village
Bucy-le-Long,1883,Village
Saint-Viance,1883,Village
Arçonnay,1882,Village
Bennecourt,1882,Village
Malicorne-sur-Sarthe,1882,Village
Hinx,1881,Village
Les Aix-d'Angillon,1881,Village
Lurcy-Lévis,1881,Village
Courçon,1879,Village
Dommartin-lès-Remiremont,1879,Village
Benquet,1878,Village
Courmelles,1877,Village
Entre-deux-Guiers,1877,Village
La Bernardière,1877,Village
Pierrefonds,1877,Village
Saint-Martin-du-Mont,1877,Village
Bozel,1876,Village
Hauterives,1876,Village
Assérac,1875,Village
Darvoy,1875,Village
Perrignier,1875,Village
Laloubère,1874,Village
Saint-Hilaire-du-Rosier,1874,Village
Arandon-Passins,1873,Village
Maubec,1872,Village
Plancher-Bas,1872,Village
Beaucroissant,1871,Village
Boëge,1870,Village
Herrlisheim-près-Colmar,1870,Village
Saint-Christoly-de-Blaye,1870,Village
Châtillon-Coligny,1869,Village
Combaillaux,1869,Village
Mormoiron,1869,Village
Ramonchamp,1869,Village
Saint-Thuriau,1869,Village
Apremont,1867,Village
Charbuy,1867,Village
Civrieux,1867,Village
Compreignac,1867,Village
Réalville,1865,Village
Attichy,1864,Village
Dinéault,1864,Village
Ménesplet,1863,Village
Vic-sur-Cère,1862,Village
Villeneuve-le-Comte,1862,Village
Bonny-sur-Loire,1861,Village
Bazouges-la-Pérouse,1860,Village
Biard,1860,Village
Saâcy-sur-Marne,1859,Village
Saint-Barthélemy-de-Vals,1859,Village
Varennes-sur-Loire,1859,Village
Bellefontaine,1858,Village
Saint-Paul-lès-Romans,1858,Village
Sauveterre-de-Guyenne,1858,Village
Verrières,1858,Village
Sainte-Croix-aux-Mines,1857,Village
La Murette,1856,Village
Les Molières,1856,Village
Murviel-lès-Montpellier,1856,Village
Pédernec,1856,Village
Champtocé-sur-Loire,1855,Village
Collobrières,1855,Village
Landrévarzec,1855,Village
Saint-Pardoux-Soutiers,1855,Village
Véron,1855,Village
Le Pêchereau,1854,Village
Saclas,1854,Village
Fontaines,1853,Village
Mézeray,1853,Village
Le Champ-Saint-Père,1852,Village
Plailly,1852,Village
Lapoutroie,1851,Village
Gueux,1850,Village
Jougne,1850,Village
Bazet,1849,Village
Estissac,1849,Village
Saint-Antoine-de-Breuilh,1849,Village
Bourogne,1848,Village
Guénin,1848,Village
Larajasse,1848,Village
Chanteloup,1847,Village
Saint-Germain-de-la-Grange,1847,Village
Messei,1846,Village
Préaux,1846,Village
Cabrières-d'Avignon,1845,Village
Conlie,1845,Village
Ahuillé,1844,Village
Fleurines,1844,Village
Port-Sainte-Marie,1844,Village
Saint-Émilion,1844,Village
Cusy,1843,Village
Deûlémont,1843,Village
Jonchery-sur-Vesle,1843,Village
Montferrat,1843,Village
Porte du Ried,1843,Village
Le Gâvre,1842,Village
Saint-Jean-d'Assé,1842,Village
Mées,1841,Village
Vieux-Fort,1841,Village
Beauchastel,1840,Village
Charbonnières-les-Varennes,1840,Village
Herbitzheim,1840,Village
Malguénac,1840,Village
Peillac,1840,Village
Saint-Léger-lès-Domart,1840,Village
Saint-Paulet-de-Caisson,1840,Village
Saint-Pierre-le-Moûtier,1840,Village
Bardos,1838,Village
Saulce-sur-Rhône,1838,Village
Saint-Jouin-Bruneval,1837,Village
Sundhouse,1837,Village
Bachy,1836,Village
Castelnau Montratier-Sainte Alauzie,1836,Village
Lalbenque,1836,Village
Milly-sur-Thérain,1836,Village
Novéant-sur-Moselle,1836,Village
Seine-Port,1835,Village
Daoulas,1833,Village
Saint-Sulpice-de-Pommeray,1833,Village
Canet,1832,Village
Damprichard,1832,Village
Marolles-sur-Seine,1832,Village
Villevieille,1832,Village
Distroff,1830,Village
Maffliers,1830,Village
Peltre,1830,Village
Pommerit-le-Vicomte,1830,Village
Sauzet,1830,Village
Arthez-de-Béarn,1829,Village
Cherisy,1829,Village
Haybes,1829,Village
Les Allues,1829,Village
Noisy-sur-École,1829,Village
Artas,1828,Village
Glières-Val-de-Borne,1828,Village
Aron,1827,Village
Bologne,1827,Village
Châteauneuf-de-Galaure,1827,Village
La Garde-Freinet,1827,Village
Maclas,1827,Village
Fleury-sur-Andelle,1826,Village
Puget-Théniers,1826,Village
Buellas,1825,Village
Cuiseaux,1825,Village
Allan,1824,Village
Fors,1824,Village
Guengat,1824,Village
Plouider,1824,Village
Saint-Laurent-en-Grandvaux,1824,Village
Saint-Pierre-Église,1824,Village
Saint-Senoux,1824,Village
Vézénobres,1824,Village
Villemoirieu,1824,Village
Breuil-Magné,1823,Village
Prémery,1823,Village
Saint-Trivier-sur-Moignans,1823,Village
Simandres,1823,Village
Tramoyes,1823,Village
Jasseron,1822,Village
Médréac,1822,Village
Roquebillière,1822,Village
Saint-Cyr-sur-Menthon,1822,Village
Montbizot,1821,Village
Saint-Aubin,1821,Village
Vix,1821,Village
Yzernay,1821,Village
Avesnes-le-Comte,1820,Village
Crouy-sur-Ourcq,1820,Village
Kunheim,1820,Village
Saint-Michel-sur-Meurthe,1820,Village
Maincy,1819,Village
Pleucadeuc,1819,Village
Saint-Maurice-en-Gourgois,1819,Village
Saint-Symphorien,1819,Village
Val-de-Meuse,1819,Village
Luitré-Dompierre,1818,Village
Poey-de-Lescar,1818,Village
Esternay,1817,Village
Fontaine-le-Bourg,1817,Village
Mazères-Lezons,1817,Village
Conty,1815,Village
Fouilloy,1815,Village
Janneyrias,1815,Village
Murat,1815,Village
Villelongue-dels-Monts,1815,Village
Arâches-la-Frasse,1814,Village
Brezolles,1814,Village
Illange,1814,Village
Saint-André-sur-Orne,1814,Village
Saint-Pierre-d'Eyraud,1814,Village
Vairé,1814,Village
Pont-Saint-Vincent,1813,Village
Chambœuf,1812,Village
Cheillé,1812,Village
Dachstein,1811,Village
Les Forges,1811,Village
Rouxmesnil-Bouteilles,1811,Village
Assevent,1810,Village
La Roche-Maurice,1810,Village
Lannoy,1810,Village
Vergongheon,1810,Village
Amilly,1809,Village
Saint-Priest-sous-Aixe,1809,Village
Berson,1808,Village
Sainte-Colombe,1808,Village
Teillé,1808,Village
Saint-Georges-du-Bois,1807,Village
Le Morne-Vert,1806,Village
Mamirolle,1806,Village
Still,1806,Village
Abeilhan,1805,Village
Chambaron sur Morge,1805,Village
Les Moutiers-en-Retz,1805,Village
Grandfresnoy,1804,Village
Issé,1804,Village
Montcuq-en-Quercy-Blanc,1804,Village
Quarante,1804,Village
Arlanc,1803,Village
Beaumontois en Périgord,1803,Village
Étang-sur-Arroux,1803,Village
Tresques,1803,Village
Bois-Grenier,1802,Village
Lagarrigue,1802,Village
Massiac,1801,Village
Perriers-sur-Andelle,1801,Village
Quiévy,1801,Village
Cormery,1800,Village
Guiscard,1800,Village
Bierne,1799,Village
Neuville-sur-Ain,1799,Village
Saint-Léger-des-Vignes,1799,Village
Crépy,1798,Village
Lentigny,1798,Village
Marles-en-Brie,1798,Village
Saint-Laurent-de-Chamousset,1798,Village
Villiers-en-Plaine,1798,Village
Champagné-les-Marais,1797,Village
Cuffies,1797,Village
Castelmoron-sur-Lot,1796,Village
Gacé,1796,Village
Ladoix-Serrigny,1796,Village
Sillery,1796,Village
Villeblevin,1796,Village
Appietto,1795,Village
Nézignan-l'Évêque,1795,Village
Oletta,1795,Village
Port-Brillet,1795,Village
Saint-Vivien-de-Médoc,1795,Village
Thaon,1795,Village
Venzolasca,1795,Village
Bettancourt-la-Ferrée,1794,Village
Le Gua,1794,Village
Parthenay-de-Bretagne,1794,Village
Serre-les-Sapins,1794,Village
Les Gonds,1793,Village
Serquigny,1793,Village
Thèreval,1793,Village
Coëtmieux,1792,Village
Crottet,1792,Village
Agonac,1791,Village
Feigères,1791,Village
Font-Romeu-Odeillo-Via,1791,Village
Montlaur,1791,Village
Saint-Romans,1791,Village
Taradeau,1791,Village
Porcieu-Amblagnieu,1790,Village
Secondigny,1790,Village
Mons,1789,Village
Saint-Claude-de-Diray,1789,Village
Saint-Martin-d'Abbat,1789,Village
Seilhac,1789,Village
Pont-l'Abbé-d'Arnoult,1788,Village
Saint-Ouen,1788,Village
Zutkerque,1788,Village
Frignicourt,1787,Village
Plonévez-Porzay,1787,Village
Chalais,1786,Village
Mouilleron-Saint-Germain,1786,Village
Saint-Jean-le-Vieux,1786,Village
Thilouze,1786,Village
Val-de-Livenne,1786,Village
Villé,1786,Village
Albitreccia,1785,Village
Puyloubier,1785,Village
Saint-Pierre-des-Nids,1785,Village
Vers-Pont-du-Gard,1785,Village
Grandfontaine,1784,Village
La Lande-Patry,1784,Village
Paimpont,1784,Village
Évran,1783,Village
Schnersheim,1783,Village
Ambérieux-en-Dombes,1782,Village
Civray-de-Touraine,1782,Village
Demigny,1782,Village
Le Faou,1782,Village
Saint-Ouën-des-Toits,1782,Village
Sernhac,1782,Village
Tourbes,1782,Village
Lanvollon,1781,Village
Thiberville,1781,Village
Barjouville,1780,Village
Boult-sur-Suippe,1780,Village
Nesles-la-Vallée,1780,Village
Saubion,1780,Village
Baguer-Pican,1779,Village
Beaulieu-sur-Loire,1779,Village
Saint-Paul-de-Fenouillet,1779,Village
Sermaize-les-Bains,1779,Village
Spycker,1779,Village
Vendrennes,1779,Village
Longueville,1778,Village
Mézières-sur-Couesnon,1778,Village
Rospez,1778,Village
Thairé,1778,Village
Cucuron,1777,Village
Ogy-Montoy-Flanville,1777,Village
Solre-le-Château,1777,Village
Velars-sur-Ouche,1777,Village
Willer-sur-Thur,1777,Village
Beauvoir-sur-Niort,1776,Village
Laurens,1776,Village
Luzech,1776,Village
Sierck-les-Bains,1776,Village
Denguin,1775,Village
Plouzévédé,1775,Village
Wettolsheim,1775,Village
Bessines,1774,Village
Camblain-Châtelain,1774,Village
Héry,1774,Village
Plougoulm,1774,Village
Saint-Augustin,1774,Village
Quettehou,1773,Village
Sainte-Fortunade,1773,Village
La Capelle,1772,Village
Lassy,1772,Village
Saint-Sernin,1772,Village
Cérences,1771,Village
Saint-Paul-en-Forêt,1770,Village
Congis-sur-Thérouanne,1769,Village
Ceton,1768,Village
Aspach-Michelbach,1767,Village
Flamanville,1767,Village
Fontaine-Notre-Dame,1767,Village
